mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_Boost__base_estimator__max_depth,param_Boost__n_estimators,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
8.64367709159851,0.05604996681213379,0.7565,0.7801250000000001,4,60,"{'Boost__base_estimator__max_depth': 4, 'Boost__n_estimators': 60}",352,0.785,0.789375,0.758125,0.78703125,0.73875,0.78046875,0.753125,0.77140625,0.7475,0.77234375,1.125207159930622,0.005897125925047549,0.015635496474368828,0.007347671825142997
8.643477821350098,0.06103663444519043,0.7565,0.7801250000000001,4,80,"{'Boost__base_estimator__max_depth': 4, 'Boost__n_estimators': 80}",352,0.785,0.789375,0.758125,0.78703125,0.73875,0.78046875,0.753125,0.77140625,0.7475,0.77234375,1.1375923451730292,0.009343304351694531,0.015635496474368828,0.007347671825142997
8.51581892967224,0.05226035118103027,0.7565,0.7801250000000001,4,100,"{'Boost__base_estimator__max_depth': 4, 'Boost__n_estimators': 100}",352,0.785,0.789375,0.758125,0.78703125,0.73875,0.78046875,0.753125,0.77140625,0.7475,0.77234375,1.1020333358200167,0.004441969365373188,0.015635496474368828,0.007347671825142997
1.1415514945983887,0.02034587860107422,0.691375,0.70809375,5,1,"{'Boost__base_estimator__max_depth': 5, 'Boost__n_estimators': 1}",373,0.719375,0.71296875,0.69375,0.70953125,0.663125,0.70484375,0.68125,0.70234375,0.699375,0.71078125,0.014648506032763542,0.0007980109169308545,0.01873082352701023,0.0039161125494551335
1.5873588085174561,0.02193589210510254,0.691375,0.70809375,5,2,"{'Boost__base_estimator__max_depth': 5, 'Boost__n_estimators': 2}",373,0.719375,0.71296875,0.69375,0.70953125,0.663125,0.70484375,0.68125,0.70234375,0.699375,0.71078125,0.022826118456460157,0.0006313067795491401,0.01873082352701023,0.0039161125494551335
2.893658971786499,0.026928186416625977,0.73525,0.75721875,5,5,"{'Boost__base_estimator__max_depth': 5, 'Boost__n_estimators': 5}",362,0.754375,0.7625,0.733125,0.7515625,0.730625,0.75703125,0.740625,0.76625,0.7175,0.74875,0.018255609833388295,0.0010926671405695617,0.012129509470708202,0.006529978943304466
5.096770286560059,0.03530030250549317,0.74625,0.7772812499999999,5,10,"{'Boost__base_estimator__max_depth': 5, 'Boost__n_estimators': 10}",358,0.76,0.774375,0.751875,0.77921875,0.72,0.76359375,0.75375,0.79609375,0.745625,0.773125,0.04335866755158507,0.0011937505678850198,0.013902562713399293,0.010683935809195062
8.826587390899657,0.0478722095489502,0.762125,0.8033125,5,20,"{'Boost__base_estimator__max_depth': 5, 'Boost__n_estimators': 20}",348,0.769375,0.80453125,0.76125,0.81171875,0.751875,0.7925,0.768125,0.8065625,0.76,0.80125,0.7360792387009523,0.00459200917597636,0.0063072379057714425,0.0063855611049460775
11.125855588912964,0.05784540176391602,0.7645,0.80525,5,30,"{'Boost__base_estimator__max_depth': 5, 'Boost__n_estimators': 30}",342,0.770625,0.804375,0.7675,0.81703125,0.751875,0.7925,0.768125,0.8065625,0.764375,0.80578125,2.0534508635951854,0.013033945646743723,0.00661910114743687,0.007799113531357268
10.429100942611694,0.05345730781555176,0.7645,0.80525,5,45,"{'Boost__base_estimator__max_depth': 5, 'Boost__n_estimators': 45}",342,0.770625,0.804375,0.7675,0.81703125,0.751875,0.7925,0.768125,0.8065625,0.764375,0.80578125,1.9412201751544969,0.00877665607511447,0.00661910114743687,0.007799113531357268
10.179967403411865,0.05146260261535644,0.7645,0.80525,5,60,"{'Boost__base_estimator__max_depth': 5, 'Boost__n_estimators': 60}",342,0.770625,0.804375,0.7675,0.81703125,0.751875,0.7925,0.768125,0.8065625,0.764375,0.80578125,1.8452836600781506,0.007069399641870871,0.00661910114743687,0.007799113531357268
11.024707889556884,0.059441566467285156,0.7645,0.80525,5,80,"{'Boost__base_estimator__max_depth': 5, 'Boost__n_estimators': 80}",342,0.770625,0.804375,0.7675,0.81703125,0.751875,0.7925,0.768125,0.8065625,0.764375,0.80578125,2.4521895053651006,0.009764470090551952,0.00661910114743687,0.007799113531357268
12.149099588394165,0.06303138732910156,0.7645,0.80525,5,100,"{'Boost__base_estimator__max_depth': 5, 'Boost__n_estimators': 100}",342,0.770625,0.804375,0.7675,0.81703125,0.751875,0.7925,0.768125,0.8065625,0.764375,0.80578125,2.411220336113764,0.015999124157480667,0.00661910114743687,0.007799113531357268
1.5378857612609864,0.024534130096435548,0.715125,0.7379687500000001,6,1,"{'Boost__base_estimator__max_depth': 6, 'Boost__n_estimators': 1}",369,0.73625,0.7365625,0.710625,0.7396875,0.696875,0.73265625,0.70625,0.74203125,0.725625,0.73890625,0.21527765982172176,0.004617738254751654,0.01406124994443948,0.0031792171795899785
1.8360877513885498,0.02234029769897461,0.715125,0.7379687500000001,6,2,"{'Boost__base_estimator__max_depth': 6, 'Boost__n_estimators': 2}",369,0.73625,0.7365625,0.710625,0.7396875,0.696875,0.73265625,0.70625,0.74203125,0.725625,0.73890625,0.03397960054278891,0.0004887139602838393,0.01406124994443948,0.0031792171795899785
3.673373317718506,0.026927614212036134,0.7445,0.79046875,6,5,"{'Boost__base_estimator__max_depth': 6, 'Boost__n_estimators': 5}",359,0.761875,0.79859375,0.738125,0.789375,0.734375,0.7959375,0.753125,0.7946875,0.735,0.77375,0.13300397735621403,0.0012616905818400672,0.011042531412678884,0.008881819563017453
6.536519289016724,0.038691234588623044,0.763875,0.8213125,6,10,"{'Boost__base_estimator__max_depth': 6, 'Boost__n_estimators': 10}",347,0.774375,0.81984375,0.74375,0.82,0.76875,0.8309375,0.765,0.82234375,0.7675,0.8134375,0.1651860812928377,0.005332969743842223,0.010520812706250408,0.005649771842738423
